id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
116001048,2022/05/07 7:19 PM,2022-05-07,2022-05-07 22:19:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:21 UTC,2022-05-08 11:44:54 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116001048,https://inaturalist-open-data.s3.amazonaws.com/photos/195780706/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.330025,-56.717685,,,,,,,,false,,,Grylloidea,Grylloidea,,Insecta,50158,Animalia,Arthropoda,Insecta,Orthoptera,,,,
116001049,2022/05/07 7:13 PM,2022-05-07,2022-05-07 22:13:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:21 UTC,2022-05-08 01:03:07 UTC,research,CC0,https://www.inaturalist.org/observations/116001049,https://inaturalist-open-data.s3.amazonaws.com/photos/195780745/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.330025,-56.717685,,,,,,,open,false,,,Chinaberry,Melia azedarach,árbol del paraíso,Plantae,53720,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,Melia azedarach,
116001051,2022/05/07 7:13 PM,2022-05-07,2022-05-07 22:13:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:22 UTC,2022-05-08 01:03:18 UTC,research,CC0,https://www.inaturalist.org/observations/116001051,https://inaturalist-open-data.s3.amazonaws.com/photos/195780811/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3300331696,-56.7173188611,25,,,,25,,,false,,,catchweed bedstraw,Galium aparine,amor del hortelano,Plantae,53059,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium aparine,
116001053,2022/05/07 7:11 PM,2022-05-07,2022-05-07 22:11:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:22 UTC,2022-05-08 00:28:30 UTC,research,CC0,https://www.inaturalist.org/observations/116001053,https://inaturalist-open-data.s3.amazonaws.com/photos/195780837/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.32994,-56.7177316667,,,,,,,open,false,,,campanilla palmeada,Ipomoea cairica,campanilla palmeada,Plantae,77494,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea cairica,
116001054,2022/05/07 7:06 PM,2022-05-07,2022-05-07 22:06:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:22 UTC,2022-05-10 00:35:51 UTC,research,CC0,https://www.inaturalist.org/observations/116001054,https://inaturalist-open-data.s3.amazonaws.com/photos/195780879/medium.jpeg,,"",,5,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3300166667,-56.7177766667,,,,,,,open,false,,,Zorzal chalchalero,Turdus amaurochalinus,Sabiá,Aves,12710,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus amaurochalinus,
116001055,2022/05/07 7:05 PM,2022-05-07,2022-05-07 22:05:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:23 UTC,2022-05-14 23:12:32 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116001055,https://inaturalist-open-data.s3.amazonaws.com/photos/195780918/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3300166667,-56.7177766667,,,,,,,open,false,,,Aves,Patagioenas picazuro,Paloma de monte,Aves,3102,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas picazuro,
116001056,2022/05/07 7:05 PM,2022-05-07,2022-05-07 22:05:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:23 UTC,2022-05-08 00:27:40 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116001056,https://inaturalist-open-data.s3.amazonaws.com/photos/195780949/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3300119241,-56.7174851581,20,,,,20,,,false,,,Caraguatá,Eryngium pandanifolium,Caraguatá,Plantae,326751,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium pandanifolium,
116001057,2022/05/07 7:02 PM,2022-05-07,2022-05-07 22:02:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:23 UTC,2022-05-08 15:23:57 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116001057,https://inaturalist-open-data.s3.amazonaws.com/photos/195780997/medium.jpeg,,"",,1,0,false,,"n.a154, San José, Uruguay",-34.329945,-56.7178233333,,,,,,,,false,,,Plantas con flores,Angiospermae,Plantas con flores,Plantae,47125,Plantae,Tracheophyta,,,,,,
116001060,2022/05/07 6:56 PM,2022-05-07,2022-05-07 21:56:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:14:24 UTC,2022-05-08 13:41:30 UTC,research,CC0,https://www.inaturalist.org/observations/116001060,https://inaturalist-open-data.s3.amazonaws.com/photos/195781095/medium.jpeg,,"",,3,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301166667,-56.71788,,,,,,,open,false,,,Hornero,Furnarius rufus,Hornero,Aves,11275,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Furnarius,Furnarius rufus,
116005053,2022/05/07 6:30 PM,2022-05-07,2022-05-07 21:30:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:21 UTC,2022-05-08 01:04:00 UTC,research,CC0,https://www.inaturalist.org/observations/116005053,https://inaturalist-open-data.s3.amazonaws.com/photos/195783066/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3296828568,-56.7182829236,20,,,,20,,open,false,,,whitemouth dayflower,Commelina erecta,Cantillo,Plantae,53478,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta,
